,Open,High,Low,Close,Adj Close,Volume,Date,company
0,171.589996,172.550003,171.0,172.199997,148.700012,2070600.0,2017-07-10,AMGN
1,174.179993,174.440002,172.070007,173.320007,149.667206,2198000.0,2017-07-11,AMGN
2,173.710007,174.240005,172.669998,173.270004,149.623993,1976900.0,2017-07-12,AMGN
3,173.279999,176.199997,173.089996,175.039993,151.152451,2999900.0,2017-07-13,AMGN
4,175.429993,177.679993,174.410004,177.130005,152.95723,2720600.0,2017-07-14,AMGN
5,176.839996,178.899994,176.679993,177.399994,153.190399,2692400.0,2017-07-17,AMGN
6,176.660004,177.630005,176.139999,177.479996,153.259491,1820100.0,2017-07-18,AMGN
7,178.100006,179.199997,176.520004,179.179993,154.727493,2440700.0,2017-07-19,AMGN
8,179.050003,180.729996,178.880005,179.320007,154.848312,3039300.0,2017-07-20,AMGN
9,179.259995,180.550003,179.160004,180.210007,155.616913,2674700.0,2017-07-21,AMGN
10,180.190002,181.460007,178.660004,181.059998,156.350906,2503100.0,2017-07-24,AMGN
11,182.050003,182.600006,180.339996,180.889999,156.204102,3343200.0,2017-07-25,AMGN
12,176.009995,178.860001,175.199997,175.889999,151.886459,5446100.0,2017-07-26,AMGN
13,175.0,175.479996,170.529999,172.149994,148.65683,5523200.0,2017-07-27,AMGN
14,171.979996,175.059998,171.710007,174.539993,150.720688,2463500.0,2017-07-28,AMGN
15,174.509995,176.789993,174.25,174.509995,150.694794,2424800.0,2017-07-31,AMGN
16,174.809998,175.110001,173.660004,174.130005,150.366638,2069600.0,2017-08-01,AMGN
17,173.570007,174.589996,173.210007,174.460007,150.651581,2209200.0,2017-08-02,AMGN
18,173.520004,174.710007,173.259995,174.179993,150.409775,1725900.0,2017-08-03,AMGN
19,174.270004,174.820007,172.899994,173.850006,150.124863,1915600.0,2017-08-04,AMGN
20,173.869995,174.649994,173.259995,174.580002,150.755219,1193800.0,2017-08-07,AMGN
21,173.960007,174.899994,172.979996,173.690002,149.986679,2325200.0,2017-08-08,AMGN
22,173.100006,174.179993,172.649994,173.550003,149.865814,1972200.0,2017-08-09,AMGN
23,172.070007,172.669998,168.589996,169.110001,146.031708,3443800.0,2017-08-10,AMGN
24,169.820007,170.630005,168.759995,169.429993,146.308029,1571600.0,2017-08-11,AMGN
25,170.279999,172.080002,169.970001,171.669998,148.242325,1915800.0,2017-08-14,AMGN
26,171.100006,171.449997,169.759995,170.039993,147.825058,1956300.0,2017-08-15,AMGN
27,170.259995,172.639999,170.139999,171.389999,148.998718,1618800.0,2017-08-16,AMGN
28,170.690002,171.0,167.800003,167.809998,145.886383,2630600.0,2017-08-17,AMGN
29,167.369995,168.429993,166.520004,167.289993,145.434326,1741900.0,2017-08-18,AMGN
30,167.460007,168.639999,167.009995,168.160004,146.190689,1533300.0,2017-08-21,AMGN
31,168.860001,170.940002,168.830002,170.070007,147.851151,1933500.0,2017-08-22,AMGN
32,169.660004,169.940002,168.759995,169.0,146.920944,1279400.0,2017-08-23,AMGN
33,169.279999,170.690002,168.570007,169.949997,147.746857,1922400.0,2017-08-24,AMGN
34,170.820007,171.570007,169.399994,169.740005,147.56427,1510800.0,2017-08-25,AMGN
35,170.860001,172.639999,170.259995,171.779999,149.337723,2359500.0,2017-08-28,AMGN
36,170.660004,172.350006,170.350006,172.229996,149.728912,1483000.0,2017-08-29,AMGN
37,172.190002,175.080002,171.539993,173.649994,150.96344,2310900.0,2017-08-30,AMGN
38,173.740005,178.639999,173.740005,177.770004,154.545181,3977500.0,2017-08-31,AMGN
39,178.139999,179.729996,177.300003,178.710007,155.362381,2431900.0,2017-09-01,AMGN
40,178.0,178.5,175.360001,176.740005,153.649765,1959900.0,2017-09-05,AMGN
41,177.589996,179.080002,176.360001,178.380005,155.075516,2242300.0,2017-09-06,AMGN
42,178.5,182.770004,177.279999,180.710007,157.101089,2985300.0,2017-09-07,AMGN
43,180.929993,182.660004,179.520004,180.639999,157.040237,1993900.0,2017-09-08,AMGN
44,182.539993,186.710007,182.539993,186.490005,162.125977,3791200.0,2017-09-11,AMGN
45,187.0,191.039993,186.779999,191.0,166.046753,3894300.0,2017-09-12,AMGN
46,189.899994,190.940002,187.710007,189.699997,164.91658,3031400.0,2017-09-13,AMGN
47,188.369995,191.100006,187.809998,189.440002,164.690552,2318400.0,2017-09-14,AMGN
48,189.660004,189.660004,186.309998,187.470001,162.977921,5349000.0,2017-09-15,AMGN
49,187.789993,188.559998,186.119995,186.470001,162.108582,2443800.0,2017-09-18,AMGN
50,186.809998,187.440002,185.809998,186.320007,161.978165,2066100.0,2017-09-19,AMGN
51,186.080002,188.550003,185.419998,188.169998,163.586472,2685400.0,2017-09-20,AMGN
52,188.320007,188.960007,186.5,186.639999,162.256348,2082200.0,2017-09-21,AMGN
53,185.479996,186.820007,184.0,185.759995,161.491302,2275600.0,2017-09-22,AMGN
54,185.509995,188.029999,185.509995,186.289993,161.952072,2545400.0,2017-09-25,AMGN
55,186.509995,187.550003,185.399994,185.600006,161.352219,2307900.0,2017-09-26,AMGN
56,185.050003,186.880005,183.899994,184.880005,160.726288,2436700.0,2017-09-27,AMGN
57,184.289993,187.820007,184.130005,185.460007,161.230515,2576900.0,2017-09-28,AMGN
58,185.699997,186.539993,183.169998,186.449997,162.091187,3017300.0,2017-09-29,AMGN
59,187.029999,187.729996,185.559998,187.169998,162.717133,2682700.0,2017-10-02,AMGN
60,188.050003,188.220001,185.630005,187.229996,162.769272,1514200.0,2017-10-03,AMGN
61,186.550003,188.720001,186.020004,188.589996,163.951584,1660300.0,2017-10-04,AMGN
62,189.050003,190.0,184.309998,186.850006,162.438919,4506600.0,2017-10-05,AMGN
63,186.460007,188.240005,185.160004,185.820007,161.543472,2032500.0,2017-10-06,AMGN
64,185.949997,186.839996,184.399994,185.460007,161.230515,1519600.0,2017-10-09,AMGN
65,185.460007,186.580002,184.460007,185.789993,161.517395,2036400.0,2017-10-10,AMGN
66,185.279999,185.5,182.679993,184.149994,160.091644,3273200.0,2017-10-11,AMGN
67,183.389999,184.389999,182.039993,182.759995,158.88324,2223800.0,2017-10-12,AMGN
68,182.639999,183.350006,182.009995,183.009995,159.100586,2331500.0,2017-10-13,AMGN
69,182.960007,184.199997,181.199997,181.899994,158.13559,2211500.0,2017-10-16,AMGN
70,182.029999,187.059998,181.130005,186.190002,161.865158,3753700.0,2017-10-17,AMGN
